HudongItem1,relation,HudongItem2
红胸田鸡,taxon rank,种
长脚秧鸡,taxon rank,种
蓝胸秧鸡,taxon rank,种
秧鸡科,taxon rank,科
白鹤,taxon rank,种
丹顶鹤,taxon rank,种
秧鸡科,parent taxon,鹤形目
白头鹤,taxon rank,种
黑颈鹤,taxon rank,种
蓑羽鹤,taxon rank,种
赤颈鹤,taxon rank,种
灰鹤,taxon rank,种
鹤科,taxon rank,科
黄脚三趾鹑,taxon rank,种
三趾鹑科,taxon rank,科
绿孔雀,taxon rank,种
鹤科,parent taxon,鹤形目
绿孔雀,parent taxon,孔雀
鹤科,Code of nomenclature,国际动物命名法规
三趾鹑科,Code of nomenclature,国际动物命名法规
白冠长尾雉,taxon rank,种
白腹锦鸡,taxon rank,种
白颈长尾雉,taxon rank,种
褐马鸡,taxon rank,种
蓝马鸡,taxon rank,种
雉鸡,taxon rank,种
绿尾虹雉,taxon rank,种
白鹇,taxon rank,种
黑鹇,taxon rank,种
蓝鹇,taxon rank,种
棕尾虹雉,taxon rank,种
黄腹角雉,taxon rank,种
红腹角雉,taxon rank,种
灰腹角雉,taxon rank,种
红胸角雉,taxon rank,种
血雉,taxon rank,种
斑翅山鹑,taxon rank,种
鹌鹑,taxon rank,种
高原山鹑,taxon rank,种
石鸡,taxon rank,种
雉鹑,taxon rank,种
雉科,taxon rank,科
斑尾榛鸡,taxon rank,种
雉科,parent taxon,鸡形目
松鸡,taxon rank,种
松鸡科,taxon rank,亚科
灰背隼,taxon rank,种
燕隼,taxon rank,种
松鸡科,parent taxon,雉科
游隼,taxon rank,种
灰背隼,parent taxon,隼
游隼,parent taxon,隼
隼科,taxon rank,科
白头鹞,taxon rank,种
隼科,parent taxon,隼形目
隼科,Code of nomenclature,国际动物命名法规
雉科,Code of nomenclature,国际动物命名法规
白尾鹞,taxon rank,种
金雕,taxon rank,种
鹰雕,taxon rank,种
玉带海雕,taxon rank,种
白肩雕,taxon rank,种
雀鹰,taxon rank,种
凤头鹰,taxon rank,种
白尾海雕,taxon rank,种
苍鹰,taxon rank,种
鹰科,taxon rank,科
中华秋沙鸭,taxon rank,种
鹰科,parent taxon,隼形目
鹰科,Code of nomenclature,国际动物命名法规
长尾鸭,taxon rank,种
鹊鸭,taxon rank,种
红头潜鸭,taxon rank,种
凤头潜鸭,taxon rank,种
鸳鸯,taxon rank,种
琵嘴鸭,taxon rank,种
斑嘴鸭,taxon rank,种
大天鹅,taxon rank,种
大天鹅,parent taxon,Cygnus
斑头雁,taxon rank,种
灰雁,taxon rank,种
小天鹅,taxon rank,种
小天鹅,parent taxon,Cygnus
鸿雁,taxon rank,种
鸭科,taxon rank,科
鸭科,parent taxon,雁形目
黑鹳,taxon rank,种
白鹳,taxon rank,种
鹳科,taxon rank,科
鹳科,parent taxon,鹳形目
鹳科,Code of nomenclature,国际动物命名法规
池鹭,taxon rank,种
大白鹭,taxon rank,种
白鹭,taxon rank,种
牛背鹭,taxon rank,种
鹭科,taxon rank,科
苍鹭,taxon rank,种
白斑军舰鸟,taxon rank,种
鹭科,parent taxon,鹈形目
军舰鸟科,taxon rank,属
海鸬鹚,taxon rank,种
鸬鹚科,taxon rank,属
褐鲣鸟,taxon rank,种
红脚鲣鸟,taxon rank,种
军舰鸟科,parent taxon,军舰鸟
鹭科,Code of nomenclature,国际动物命名法规
鲣鸟科,taxon rank,科
斑嘴鹈鹕,taxon rank,种
白鹈鹕,taxon rank,种
鹈鹕科,taxon rank,属
鹲科,taxon rank,属
海燕科,taxon rank,科
斑嘴鹈鹕,parent taxon,鹈鹕
白鹈鹕,parent taxon,鹈鹕
海燕科,parent taxon,鹱形目
鲣鸟科,parent taxon,鹈形目
鲣鸟科,Code of nomenclature,国际动物命名法规
海燕科,Code of nomenclature,国际动物命名法规
鹱科,taxon rank,科
信天翁科,taxon rank,科
鹱科,parent taxon,鹱形目
信天翁科,parent taxon,鹱形目
海蝰,taxon rank,种
尖吻蝮,taxon rank,种
草原蝰,taxon rank,种
蝰蛇,taxon rank,亚科
鹱科,Code of nomenclature,国际动物命名法规
信天翁科,Code of nomenclature,国际动物命名法规
蝰蛇,different from,蛇
白头蝰,taxon rank,种
丽纹蛇,taxon rank,种
极北蝰,taxon rank,种
花条蛇,taxon rank,种
黑斑水蛇,taxon rank,种
眼镜王蛇,taxon rank,种
紫沙蛇,taxon rank,种
眼镜蛇科,taxon rank,科
繁花林蛇,taxon rank,种
绿瘦蛇,taxon rank,种
乌梢蛇,taxon rank,种
滑鼠蛇,taxon rank,种
灰鼠蛇,taxon rank,种
广西后棱蛇,taxon rank,种
翠青蛇,taxon rank,种
黑眉锦蛇,taxon rank,种
红点锦蛇,taxon rank,种
王锦蛇,taxon rank,种
粉链蛇,taxon rank,种
赤链蛇,taxon rank,种
黄脊游蛇,taxon rank,种
滇西蛇,taxon rank,种
钝头蛇,taxon rank,种
美姑脊蛇,taxon rank,种
台湾脊蛇,taxon rank,种
游蛇科,taxon rank,科
鳄蜥,taxon rank,种
大盲蛇,taxon rank,种
大盲蛇,parent taxon,盲蛇
雪山草蜥,taxon rank,种
黑龙江草蜥,taxon rank,种
游蛇科,Code of nomenclature,国际动物命名法规
粗疣壁虎,taxon rank,种
大壁虎,taxon rank,种
壁虎,taxon rank,科
壁虎科,taxon rank,亚科
西藏沙蜥,taxon rank,种
南疆沙蜥,taxon rank,种
白条沙蜥,taxon rank,种
蜡皮蜥,taxon rank,种
丽棘蜥,taxon rank,种
鬣蜥科,taxon rank,科
山瑞鳖,taxon rank,种
鳖,taxon rank,科
鼋,taxon rank,种
棱皮龟科,taxon rank,科
玳瑁,taxon rank,种
陆龟科,taxon rank,科
鳖,Code of nomenclature,国际动物命名法规
花龟,taxon rank,种
大头乌龟,taxon rank,种
棱皮龟科,Code of nomenclature,国际动物命名法规
乌龟,country of origin,大韩民国
陆龟科,Code of nomenclature,国际动物命名法规
平胸龟,taxon rank,种
鬣蜥科,Code of nomenclature,国际动物命名法规
饰纹姬蛙,taxon rank,种
武夷湍蛙,taxon rank,种
崇安湍蛙,taxon rank,种
泽蛙,taxon rank,种
隆肛蛙,taxon rank,种
日本林蛙,taxon rank,种
蛙科,taxon rank,科
蛙科,parent taxon,无尾目
华西雨蛙,taxon rank,种
中国雨蛙,taxon rank,种
雨蛙科,taxon rank,科
雨蛙科,parent taxon,无尾目
黑眶蟾蜍,taxon rank,种
花背蟾蜍,taxon rank,种
崇安髭蟾,taxon rank,种
小地老虎,taxon rank,种
夜蛾科,taxon rank,科
舟蛾科,taxon rank,科
灯蛾科,taxon rank,科
霜天蛾,taxon rank,种
绒星天蛾,taxon rank,种
天蛾科,taxon rank,科
尺蛾科,taxon rank,科
草地螟,taxon rank,种
家蚕,taxon rank,种
桃蛀螟,taxon rank,种
螟蛾科,taxon rank,科
斑蛾科,taxon rank,科
刺蛾科,taxon rank,科
鞘蛾科,taxon rank,科
细蛾科,taxon rank,科
蝙蝠蛾科,taxon rank,科
家蚕,this taxon is source of,丝绸
花蝇科,taxon rank,科
地中海实蝇,taxon rank,种
实蝇科,taxon rank,科
绿豆象,taxon rank,亚科
星天牛,taxon rank,种
天牛科,taxon rank,科
萤科,taxon rank,科
锹甲科,taxon rank,科
盾蝽科,taxon rank,科
盲蝽科,taxon rank,科
荔蝽,taxon rank,种
茶翅蝽,taxon rank,种
蝽科,taxon rank,科
粉蚧科,taxon rank,科
梨二叉蚜,taxon rank,种
玉米蚜,taxon rank,种
桃蚜,taxon rank,种
枝,instance of,汉字
豆蚜,taxon rank,种
蚜科,taxon rank,科
粉虱科,taxon rank,科
同翅目,taxon rank,目
黑翅土白蚁,taxon rank,种
蝽科,main food source,幼虫
豆蚜,parent taxon,Aphis
蚜科,parent taxon,蚜虫
面积,instance of,标量
蜚蠊科,taxon rank,科
德国小蠊,taxon rank,种
蝗科,taxon rank,科
直翅目,taxon rank,目
粉虱科,parent taxon,半翅目
水泵,subclass of,工具
面积,subclass of,物理量
科,part of,亚目
德国小蠊,habitat,地球
水泵,subclass of,机械
科,part of,目
自然保护区,subclass of,保护区
仓库,subclass of,数据库
类型,subclass of,数据结构
科,part of,order
职业,language of work or name,汉语
年龄,instance of,部分
坡度,subclass of,物理量
科,part of,group
职业,published in,城市规划
海拔,subclass of,高度
降水量,subclass of,物理量
结构,subclass of,实体
年龄,subclass of,物理量
降水量,facet of,降水
性质,instance of,范畴
数量,has parts of the class,势
起源,instance of,文学作品
颜色,instance of,物理性质
可燃物,subclass of,化学物质
性质,subclass of,实体
数量,different from,量值
颜色,instance of,材料
天气,part of,大气层
性质,studied by,材料科学
类型,said to be the same as,type
数量,said to be the same as,量值
年龄,measured by,岁
姓名,has part,姓氏
海拔,different from,相对高度
刨花板,subclass of,纤维板
纤维板,subclass of,人造板
人造板,subclass of,木材
胶合板,subclass of,人造板
天气,studied by,气象学
结构,different from,结构
军队,different from,陆军
姓名,has part,名字
海拔,different from,高度
胶合板,subclass of,复合材料
铁杉,taxon rank,种
樟子松,taxon rank,变种
数量,facet of,量度
海拔,different from,位势高度
起源,country of origin,美国
广州管圆线虫病,instance of,疾病
天气,has quality,量值
起源,language of work or name,英语
起源,narrative location,马德里
广州管圆线虫病,subclass of,脑膜炎
可燃物,has parts of the class,还原剂
颜色,has part,原色
狂犬病,instance of,疾病
牛痘,instance of,疾病
猴痘,instance of,疾病
口蹄疫,has cause,感染
黄热病,instance of,疾病
流行性乙型脑炎,instance of,疾病
猫传染性腹膜炎,subclass of,腹膜炎
白喉,instance of,疾病
猪瘟,taxon rank,种
破伤风,instance of,疾病
猴痘,has cause,感染
牛痘,has cause,感染
狂犬病,has cause,狂犬病病毒
公园,subclass of,地理位置
狂犬病,has effect,脑炎
宾馆,subclass of,企业
博物馆,subclass of,位置
体育馆,use,体育
狂犬病,has effect,脊髓炎
白喉,drug used for treatment,苄青霉素
黄热病,symptoms,发热
流行性乙型脑炎,symptoms,发热
博物馆,interested in,preservation
狂犬病,symptoms,幻觉
破伤风,drug used for treatment,氯丙嗪
黄热病,symptoms,呕吐
流行性乙型脑炎,symptoms,呕吐
图书馆,different from,library
交通,subclass of,物流
温泉,subclass of,泉
泥,instance of,混合物
矿泉,subclass of,泉
温泉,has quality,温度
石,instance of,姓氏
泥,instance of,建筑材料
矿泉,subclass of,水
咸水湖,subclass of,湖泊
淡水湖,country,中华人民共和国
水系,part of,流域
石,language of work or name,汉语
沙,subclass of,沉积岩
气,studied by,中国哲学
码头,subclass of,建设
垭口,country,中华人民共和国
花房,instance of,陵墓
水车,subclass of,研磨
风车,subclass of,研磨
长城,country,中华人民共和国
石,writing system,汉字
气,opposite of,理
垭口,located in the administrative territorial entity,河南省
花房,country,塞尔维亚
水车,product or material produced,水力资源
风车,subclass of,机械
长城,located in the administrative territorial entity,辽宁省
花房,located in the administrative territorial entity,贝尔格莱德
风车,use,能量
长城,located in the administrative territorial entity,吉林省
码头,subclass of,大街
盐场,country,中华人民共和国
林场,country,中华人民共和国
火山口,subclass of,地形
长城,located in the administrative territorial entity,河北省
盐场,located in the administrative territorial entity,射阳县
溶洞,subclass of,洞穴
岩溶地貌,subclass of,景观
长城,located in the administrative territorial entity,北京市
石,different from,尸
沙丘,subclass of,丘
孤峰,sex or gender,男性
冰川,material used,冰
长城,located in the administrative territorial entity,天津市
石,said to be the same as,施
孤峰,country of citizenship,元朝
冰川,studied by,冰川学
长城,located in the administrative territorial entity,山西省
长城,located in the administrative territorial entity,内蒙古自治区
长城,located in the administrative territorial entity,陕西省
石,said to be the same as,时
长城,located in the administrative territorial entity,宁夏回族自治区
石,said to be the same as,释
长城,located in the administrative territorial entity,甘肃省
石,said to be the same as,史
长城,located in the administrative territorial entity,新疆维吾尔自治区
石,said to be the same as,士
国界,different from,境界
长城,located in the administrative territorial entity,山东省
国界,different from,边界
长城,located in the administrative territorial entity,河南省
长城,located in the administrative territorial entity,湖北省
石,said to be the same as,Sa
长城,located in the administrative territorial entity,湖南省
长城,located in the administrative territorial entity,四川省
长城,located in the administrative territorial entity,青海省
水库,subclass of,人工湖
防波堤,subclass of,建设
长城,located in the administrative territorial entity,中华人民共和国
溢洪道,part of,水坝
河流,part of,水系
堤岸,subclass of,建设
长城,material used,石灰岩
栅栏,subclass of,城墙
浮标,instance of,航标
灯塔,subclass of,航标
堤岸,subclass of,栈桥
池塘,subclass of,湖泊
路堤,subclass of,大街
小路,instance of,姓氏
堤岸,part of,港口
隧道,subclass of,孔洞
涵洞,part of,路堤
小路,language of work or name,日语
灯塔,subclass of,航标
涵洞,part of,水坝
灯塔,subclass of,建筑物
路堤,different from,桥
高速公路,subclass of,公路
公路,subclass of,道路
加油站,topic's main category,加油站
医院,subclass of,制度
小路,said to be the same as,小池
清真寺,religion,伊斯兰教
纪念碑,subclass of,文化遗产
古塔,country,乌克兰
首都,subclass of,城市
河流,has part,水
起重机,country,法国
窑,subclass of,烘箱
油库,has quality,石油
变电站,subclass of,装置
首都,opposite of,古都
菜窖,has quality,冷
教堂,religion,基督教
起重机,item operated,吊钩
窑,part of,陶器
蒙古包,subclass of,住宅
学校,has part,教师
河流,different from,水道
林区,country,中华人民共和国
气象站,facet of,气象学
河流,model item,亚马逊河
教堂,different from,教会
河流,model item,长江
首都,model item,巴西利亚
河流,model item,泰晤士河
河流,model item,刚果河
起重机,has part,驾驶舱
河流,model item,密西西比河
白桦林,sex or gender,男性
白桦林,country of citizenship,中华人民共和国
灌木林,subclass of,多年生植物
水生植被,instance of,生活型
灌木林,subclass of,木本植物
水生植被,subclass of,植物
草甸,subclass of,草原
荒漠,subclass of,景观
水土流失,has cause,降水
偃柏,taxon rank,变种
毛麻楝,taxon rank,变种
灌木林,has parts of the class,茎
川楝,taxon rank,种
割舌树,taxon rank,种
鸦胆子,taxon rank,种
灌木林,different from,树
斑鸠菊,taxon rank,种
红桦,taxon rank,种
白桦,taxon rank,种
黑桦,taxon rank,种
枫桦,taxon rank,种
桤木,taxon rank,种
草甸,different from,大草原
白桦,parent taxon,桦木属
黑桦,parent taxon,桦木属
枫桦,parent taxon,桦木属
桤木,parent taxon,桤木属
黑荆,taxon rank,种
金合欢,taxon rank,属
儿茶,taxon rank,种
楹树,taxon rank,种
黑荆,parent taxon,金合欢
黑格,instance of,姓氏
儿茶,parent taxon,金合欢
楹树,parent taxon,合欢属
黑格,language of work or name,英语
合欢,taxon rank,种
海红豆,taxon rank,种
八宝树,taxon rank,种
黑格,writing system,拉丁文字
合欢,parent taxon,合欢属
合欢,parent taxon,金合欢
蓝果树,taxon rank,种
喜树,taxon rank,种
山蕉,taxon rank,种
依兰,taxon rank,种
喜树,parent taxon,喜树属
