HudongItem,relation,NewNode
鹰鹃,parent taxon,Hierococcyx
红翅凤头鹃,parent taxon,Clamator
原鸽,topic's main category,Category:Columba livia
钱塘江,topic's main category,Category:钱塘江
怒江,tributary,南卡江
澜沧江,tributary,郭河
大杜鹃,IUCN conservation status,无危物种
棕腹杜鹃,IUCN conservation status,无危物种
鹰鹃,IUCN conservation status,无危物种
红翅凤头鹃,IUCN conservation status,无危物种
原鸽,described by source,Nordisk familjebok
汉江,described by source,Svensk uppslagsbok
澜沧江,tributary,Ing River
大杜鹃,award received,Bird of the Year
红翅凤头鹃,topic's main category,Category:Clamator coromandus
珠江,topic's main template,Template:珠江水系
汉江,described by source,俄语百科全书
大杜鹃,topic's main category,Category:Cuculus canorus
珠江,topic's main category,Category:珠江水系
澜沧江,tributary,公河
珠江,bodies of water basin category,Category:珠江水系
澜沧江,tributary,洛克河
珠江,described by source,Nordisk familjebok
澜沧江,tributary,南屯河
珠江,described by source,俄语百科全书
怒江,topic's main category,Category:Salween River
澜沧江,tributary,Tonlé San
怒江,described by source,亚美尼亚苏维埃百科全书
澜沧江,tributary,斯雷伯克河
淮河,topic's main template,Template:淮河
澜沧江,tributary,邦亨河
淮河,topic's main category,Category:淮河水系
澜沧江,tributary,黄河
淮河,described by source,俄语百科全书
澜沧江,tributary,子曲
伯劳科,instance of,生物分类单元
红尾伯劳,instance of,生物分类单元
太平鸟,instance of,生物分类单元
澜沧江,tributary,昂曲
澜沧江,tributary,Ngao River
红尾伯劳,parent taxon,伯劳属
太平鸟,parent taxon,太平鸟属
澜沧江,tributary,Kam river
伯劳科,topic's main category,Category:伯劳科
红尾伯劳,IUCN conservation status,无危物种
太平鸟,IUCN conservation status,无危物种
澜沧江,drainage basin,Mekong River basin
伯劳科,described by source,亚美尼亚苏维埃百科全书
红尾伯劳,topic's main category,Category:Lanius cristatus
澜沧江,heritage designation,Ramsar site
澜沧江,topic's main category,Category:湄公河
澜沧江,bodies of water basin category,Category:Mekong Basin
澜沧江,described by source,亚美尼亚苏维埃百科全书
画眉,instance of,生物分类单元
白颊噪鹛,instance of,生物分类单元
细纹噪鹛,instance of,生物分类单元
画眉,parent taxon,噪鹛属
白颊噪鹛,parent taxon,噪鹛属
画眉,IUCN conservation status,无危物种
白颊噪鹛,IUCN conservation status,无危物种
细纹噪鹛,parent taxon,Trochalopteron
白颊噪鹛,subject has role,原始组合
细纹噪鹛,taxon synonym,Garrulax lineatus
细纹噪鹛,original combination,Cinclosoma lineatum
细纹噪鹛,IUCN conservation status,无危物种
燕雀,instance of,生物分类单元
雀科,instance of,生物分类单元
燕雀,parent taxon,燕雀属
雀科,parent taxon,Passeroidea
燕雀,IUCN conservation status,无危物种
雀科,topic's main category,Category:麻雀科
布氏田鼠,instance of,生物分类单元
燕雀,described by source,Encyclopedia of Armenian Nature
雀科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
雀科,described by source,俄语百科全书
麝鼠,instance of,生物分类单元
布氏田鼠,parent taxon,Lasiopodomys
黄兔尾鼠,instance of,生物分类单元
布氏田鼠,IUCN conservation status,无危物种
麝鼠,parent taxon,Ondatra
黄兔尾鼠,parent taxon,兔尾鼠属
麝鼠,IUCN conservation status,无危物种
麝鼠,topic's main category,Category:Ondatra zibethicus
麝鼠,described by source,New Encyclopedic Dictionary
麝鼠,Status in the Red List of Threatened Species in the Czech Republic,not evaluated
中华鼢鼠,instance of,生物分类单元
长爪沙鼠,instance of,生物分类单元
中华鼢鼠,parent taxon,始鼢鼠属
大仓鼠,instance of,生物分类单元
中华鼢鼠,taxon synonym,Eospalax cansus
长爪沙鼠,parent taxon,Pallasiomys
中华鼢鼠,taxon synonym,Eospalax baileyi
黑线仓鼠,instance of,生物分类单元
长爪沙鼠,parent taxon,沙鼠属
大仓鼠,parent taxon,仓鼠属
中华鼢鼠,taxon synonym,Eospalax rufescens
长爪沙鼠,IUCN conservation status,无危物种
黑线仓鼠,parent taxon,仓鼠属
针毛鼠,instance of,生物分类单元
长爪沙鼠,topic's main category,Category:Meriones unguiculatus
中华鼢鼠,IUCN conservation status,无危物种
黑线仓鼠,IUCN conservation status,无危物种
黄毛鼠,instance of,生物分类单元
黄胸鼠,instance of,生物分类单元
黑线姬鼠,instance of,生物分类单元
大林姬鼠,instance of,生物分类单元
针毛鼠,parent taxon,白腹鼠属
巢鼠,instance of,生物分类单元
黄毛鼠,parent taxon,大家鼠
针毛鼠,taxon synonym,Mus cinnamomeus Blyth 1859
黄胸鼠,parent taxon,大家鼠
鼠科,instance of,生物分类单元
大竹鼠,instance of,生物分类单元
黄毛鼠,original combination,Mus losea
黑线姬鼠,parent taxon,姬鼠属
大林姬鼠,parent taxon,姬鼠属
针毛鼠,IUCN conservation status,无危物种
猪尾鼠,instance of,生物分类单元
巢鼠,parent taxon,Micromys
黄毛鼠,IUCN conservation status,无危物种
黑线姬鼠,IUCN conservation status,无危物种
大林姬鼠,IUCN conservation status,无危物种
三趾跳鼠,instance of,生物分类单元
巢鼠,IUCN conservation status,无危物种
大竹鼠,parent taxon,竹鼠属
黑线姬鼠,topic's main category,Category:Apodemus agrarius
猪尾鼠,parent taxon,Typhlomys
巢鼠,topic's main category,Category:Micromys minutus
鼠科,topic's main category,Category:鼠科
大竹鼠,IUCN conservation status,无危物种
猪尾鼠,IUCN conservation status,无危物种
三趾跳鼠,parent taxon,Dipus
三趾跳鼠,IUCN conservation status,无危物种
鼠科,described by source,俄语百科全书
鼠科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
鼠科,described by source,Explanatory Dictionary of the Living Great Russian Language
侧纹岩松鼠,instance of,生物分类单元
河狸科,instance of,生物分类单元
达乌尔黄鼠,instance of,生物分类单元
侧纹岩松鼠,parent taxon,岩松鼠属
侧纹岩松鼠,parent taxon,Rupestes
河狸科,parent taxon,Castoridae
赤腹松鼠,instance of,生物分类单元
达乌尔黄鼠,parent taxon,Citellus
侧纹岩松鼠,original combination,Rupestes forresti
河狸科,product or material produced,beaver dam
侧纹岩松鼠,IUCN conservation status,无危物种
河狸科,topic's main category,Category:Castor
赤腹松鼠,parent taxon,丽松鼠属
侧纹岩松鼠,named after,乔治·福雷斯特
河狸科,described by source,大保利古典学百科全书
赤腹松鼠,IUCN conservation status,无危物种
河狸科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
河狸科,described by source,俄语百科全书
河狸科,described by source,俄语百科全书
达乌尔鼠兔,instance of,生物分类单元
鼠兔科,instance of,生物分类单元
达乌尔鼠兔,parent taxon,Ochotona
雪兔,instance of,生物分类单元
草兔,instance of,生物分类单元
兔科,instance of,生物分类单元
鼠兔科,parent taxon,Ochotonidae
达乌尔鼠兔,IUCN conservation status,无危物种
鼠兔科,taxon synonym,Lagomys
达乌尔鼠兔,topic's main category,Category:Ochotona dauurica
盘羊,instance of,生物分类单元
岩羊,instance of,生物分类单元
塔尔羊,instance of,生物分类单元
斑羚,instance of,生物分类单元
鬣羚,instance of,生物分类单元
羚牛,instance of,生物分类单元
雪兔,parent taxon,Lepus
鼠兔科,topic's main category,Category:Pikas
雪兔,IUCN conservation status,无危物种
草兔,IUCN conservation status,无危物种
兔科,depicted by,Rabbits and hares in the arts
盘羊,parent taxon,羊属
岩羊,parent taxon,岩羊属
塔尔羊,parent taxon,Hemitragus
斑羚,parent taxon,斑羚属
鬣羚,parent taxon,Serow
羚牛,parent taxon,Budorcas
雪兔,topic's main category,Category:Lepus timidus
兔科,topic's main category,Category:兔科
盘羊,IUCN conservation status,近危物种
岩羊,IUCN conservation status,无危物种
塔尔羊,subject has role,原始组合
斑羚,IUCN conservation status,近危物种
鬣羚,IUCN conservation status,易危物种
羚牛,IUCN conservation status,易危物种
雪兔,described by source,Nordisk familjebok
兔科,described by source,Nordisk familjebok
盘羊,topic's main category,Category:Ovis ammon
岩羊,topic's main category,Category:Pseudois nayaur
塔尔羊,topic's main category,Category:Nilgiritragus hylocrius
斑羚,topic's main category,Category:Naemorhedus goral
雪兔,described by source,俄语百科全书
盘羊,described by source,亚美尼亚苏维埃百科全书
雪兔,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
马鹿,instance of,维基媒体消歧义页
水鹿,instance of,生物分类单元
梅花鹿,instance of,生物分类单元
坡鹿,instance of,生物分类单元
麋鹿,instance of,生物分类单元
狍,instance of,生物分类单元
豚鹿,instance of,生物分类单元
水鹿,parent taxon,Rusa
毛冠鹿,instance of,生物分类单元
驼鹿,instance of,生物分类单元
黑麂,instance of,生物分类单元
小麂,instance of,生物分类单元
麂,instance of,生物分类单元
白唇鹿,instance of,生物分类单元
梅花鹿,parent taxon,鹿属
水鹿,taxon synonym,Cervus unicolor
坡鹿,parent taxon,Rucervus
麋鹿,parent taxon,Elaphurus
狍,parent taxon,空齿鹿亚科
豚鹿,parent taxon,Axis
梅花鹿,IUCN conservation status,无危物种
水鹿,IUCN conservation status,易危物种
毛冠鹿,parent taxon,Elaphodus
驼鹿,parent taxon,Alces
林麝,instance of,生物分类单元
鹿科,instance of,生物分类单元
鼷鹿科,instance of,生物分类单元
骆驼科,instance of,生物分类单元
野猪,instance of,生物分类单元
猪科,instance of,生物分类单元
坡鹿,taxon synonym,Panolia eldii
麋鹿,IUCN conservation status,野外绝灭
狍,topic's main category,Category:狍属
豚鹿,taxon synonym,Hyelaphus porcinus
麂,parent taxon,真鹿亚科
白唇鹿,parent taxon,鹿属
梅花鹿,topic's main category,Category:Cervus nippon
水鹿,described by source,俄语百科全书
毛冠鹿,IUCN conservation status,近危物种
驼鹿,IUCN conservation status,无危物种
黑麂,IUCN conservation status,易危物种
小麂,IUCN conservation status,无危物种
坡鹿,taxon synonym,Cervus eldii
麋鹿,named after,谭卫道
狍,described by source,俄语百科全书
豚鹿,taxon synonym,Cervus porcinus
麂,topic's main category,Category:Muntjac
白唇鹿,IUCN conservation status,易危物种
梅花鹿,described by source,亚美尼亚苏维埃百科全书
毛冠鹿,topic's main category,Category:Elaphodus cephalophus
驼鹿,award received,Animal of the Year
黑麂,topic's main category,Category:Muntiacus crinifrons
林麝,parent taxon,麝属
小麂,topic's main category,Category:Muntiacus reevesi
野马,instance of,生物分类单元
鹿科,parent taxon,有角下目
马科,instance of,生物分类单元
雪豹,instance of,生物分类单元
虎,instance of,生物分类单元
豹,instance of,生物分类单元
云豹,instance of,生物分类单元
鼷鹿科,parent taxon,反刍亚目
骆驼科,parent taxon,胼足亚目
坡鹿,original combination,Cervus eldii
麋鹿,topic's main category,Category:Elaphurus davidianus
豚鹿,original combination,Cervus porcinus
白唇鹿,subject has role,原始组合
梅花鹿,described by source,俄语百科全书
驼鹿,topic's main category,Category:Alces alces
林麝,IUCN conservation status,濒危物种
雪豹,instance of,异名
野猪,IUCN conservation status,无危物种
猪科,topic's main category,Category:Suidae
坡鹿,IUCN conservation status,濒危物种
豚鹿,IUCN conservation status,濒危物种
白唇鹿,topic's main category,Category:Cervus albirostris
梅花鹿,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
驼鹿,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
鹿科,this taxon is source of,antler
云豹,parent taxon,云豹属
鼷鹿科,topic's main category,Category:鼷鹿科
骆驼科,this taxon is source of,camelid fiber
野猪,topic's main category,Category:Sus scrofa
猪科,described by source,Encyclopedia of Armenian Nature
坡鹿,topic's main category,Category:Cervus eldii
豚鹿,topic's main category,Category:Axis porcinus
梅花鹿,different from,西卡集团
驼鹿,described by source,俄语百科全书
野马,IUCN conservation status,濒危物种
鹿科,this taxon is source of,buff leather
雪豹,parent taxon,豹属
豹,parent taxon,豹属
云豹,IUCN conservation status,易危物种
鼷鹿科,described by source,New Encyclopedic Dictionary
骆驼科,topic's main category,Category:骆驼科
野猪,described by source,亚美尼亚苏维埃百科全书
梅花鹿,Status in the Red List of Threatened Species in the Czech Republic,not evaluated
驼鹿,described by source,亚美尼亚苏维埃百科全书
野马,topic's main category,Category:Equus ferus
马科,has list,glossary of equestrian terms
雪豹,taxon synonym,Uncia uncia
虎,parent taxon,豹属
豹,original combination,Felis pardus
云豹,topic's main category,Category:Neofelis nebulosa
野猪,described by source,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
驼鹿,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
野马,described by source,俄语百科全书
马科,topic's main category,Category:马科
雪豹,original combination,Felis uncia
虎,temporal range start,更新世
豹,IUCN conservation status,易危物种
云豹,described by source,俄语百科全书
野猪,described by source,俄语百科全书
野马,described by source,Jewish Encyclopedia of Brockhaus and Efron
鹿科,topic's main category,Category:鹿科
马科,described by source,亚美尼亚苏维埃百科全书
雪豹,IUCN conservation status,易危物种
虎,IUCN conservation status,濒危物种
豹,topic's main category,Category:豹
野猪,described by source,俄语百科全书
野马,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
雪豹,topic's main category,Category:Panthera uncia
虎,main food source,有蹄类
豹,described by source,Bible Encyclopedia of Archimandrite Nicephorus
野猪,described by source,Explanatory Dictionary of the Living Great Russian Language
鹿科,described by source,Bible Encyclopedia of Archimandrite Nicephorus
马科,described by source,New Encyclopedic Dictionary
雪豹,described by source,俄语百科全书
豹,described by source,Explanatory Dictionary of the Living Great Russian Language
野猪,described by source,Bible Encyclopedia of Archimandrite Nicephorus
鹿科,described by source,Explanatory Dictionary of the Living Great Russian Language
豹,described by source,俄语百科全书
野猪,described by source,New Encyclopedic Dictionary
鹿科,described by source,俄语百科全书
豹,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
野猪,on focus list of Wikimedia project,WikiProject Zika Corpus
鹿科,described by source,俄语百科全书
豹,produced sound,roar
野猪,invasive to,澳大利亚洲
鹿科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
鹿科,described by source,Jewish Encyclopedia of Brockhaus and Efron
鹿科,described by source,New Encyclopedic Dictionary
鹿科,invasive to,澳大利亚洲
虎,topic's main category,Category:虎
香鼬,instance of,生物分类单元
黄鼬,instance of,生物分类单元
紫貂,instance of,生物分类单元
貂熊,instance of,生物分类单元
石貂,instance of,生物分类单元
鼬科,instance of,生物分类单元
白鼬,instance of,生物分类单元
虎,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
虎,described by source,俄语百科全书
香鼬,parent taxon,鼬属
黄鼬,parent taxon,鼬属
大熊猫,instance of,生物分类单元
大熊猫科,instance of,单型
浣熊科,instance of,生物分类单元
黑熊,instance of,人类
棕熊,instance of,生物分类单元
熊科,instance of,生物分类单元
豺,instance of,生物分类单元
紫貂,parent taxon,貂属
貂熊,parent taxon,Gulo
石貂,parent taxon,貂属
鼬科,parent taxon,鼬超科
白鼬,parent taxon,鼬属
虎,produced sound,roar
香鼬,IUCN conservation status,近危物种
黄鼬,IUCN conservation status,无危物种
紫貂,IUCN conservation status,无危物种
貂熊,IUCN conservation status,无危物种
石貂,IUCN conservation status,无危物种
鼬科,parent taxon,犬型亚目
白鼬,IUCN conservation status,无危物种
黄鼬,topic's main category,Category:Mustela sibirica
大熊猫,parent taxon,猫熊属
大熊猫科,parent taxon,鼬超科
浣熊科,parent taxon,鼬超科
藏狐,instance of,生物分类单元
沙狐,instance of,生物分类单元
赤狐,instance of,生物分类单元
狼,instance of,生物分类单元
犬科,instance of,生物分类单元
穿山甲,instance of,生物分类单元
白眉长臂猿,instance of,生物分类单元
棕熊,parent taxon,熊属
熊科,parent taxon,Ursoidea
豺,parent taxon,Cuon
紫貂,topic's main category,Category:Martes zibellina
貂熊,topic's main category,Category:Gulo gulo
石貂,topic's main category,Category:Martes foina
鼬科,topic's main category,Category:鼬科
大熊猫,original combination,Ursus melanoleucus
大熊猫科,parent taxon,犬型亚目
浣熊科,parent taxon,犬型亚目
狼,instance of,顶级掠食者
黑熊,place of birth,地通拿海滩
棕熊,this taxon is source of,熊胆
熊科,parent taxon,犬型亚目
豺,IUCN conservation status,濒危物种
紫貂,described by source,亚美尼亚苏维埃百科全书
貂熊,described by source,Nordisk familjebok
鼬科,described by source,俄语百科全书
白鼬,topic's main category,Category:Mustela erminea
大熊猫,IUCN conservation status,易危物种
大熊猫科,topic's main category,Category:熊猫科
浣熊科,temporal range start,渐新世
黔金丝猴,instance of,生物分类单元
金丝猴,instance of,生物分类单元
短尾猴,instance of,生物分类单元
豚尾猴,instance of,生物分类单元
犬科,parent taxon,犬型亚目
穿山甲,parent taxon,Maninae
黑熊,occupation,词曲作家
棕熊,IUCN conservation status,无危物种
豺,described by source,俄语百科全书
白鼬,described by source,Explanatory Dictionary of the Living Great Russian Language
大熊猫,main food source,簕竹族
浣熊科,topic's main category,Category:浣熊科
藏狐,IUCN conservation status,无危物种
沙狐,IUCN conservation status,无危物种
赤狐,original combination,Canis vulpes
狼,parent taxon,犬属
犬科,means of locomotion,quadrupedalism
穿山甲,topic's main category,Category:Manis
白眉长臂猿,topic's main category,Category:Hoolock
黑熊,occupation,音乐制作人
棕熊,award received,Animal of the Year
熊科,topic's main category,Category:熊科
豺,described by source,New Encyclopedic Dictionary
白鼬,described by source,俄语百科全书
大熊猫,topic's main category,Category:大熊猫
大熊猫科,different from,Ailurinae
沙狐,topic's main category,Category:Vulpes corsac
赤狐,IUCN conservation status,无危物种
金丝猴,parent taxon,Colobinae
短尾猴,parent taxon,猕猴
豚尾猴,parent taxon,猕猴
狼,IUCN conservation status,无危物种
穿山甲,described by source,Nordisk familjebok
黑熊,occupation,歌手
棕熊,topic's main category,Category:Ursus arctos
熊科,described by source,Encyclopedia of Armenian Nature
豺,described by source,俄语百科全书
白鼬,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
大熊猫,described by source,Great Soviet Encyclopedia (1926–1947)
沙狐,described by source,俄语百科全书
赤狐,main food source,Oryctolagus
黔金丝猴,IUCN conservation status,濒危物种
金丝猴,parent taxon,Presbytini
短尾猴,IUCN conservation status,易危物种
豚尾猴,IUCN conservation status,易危物种
狼,award received,Animal of the Year
犬科,topic's main template,Template:Taxonomy/Canidae
黑熊,occupation,饶舌者
棕熊,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
熊科,described by source,Bible Encyclopedia of Archimandrite Nicephorus
赤狐,topic's main category,Category:Vulpes vulpes
金丝猴,topic's main category,Category:仰鼻猴属
豚尾猴,topic's main category,Category:Macaca nemestrina
犬科,topic's main category,Category:犬科
黑熊,genre,当代节奏蓝调
熊科,described by source,Explanatory Dictionary of the Living Great Russian Language
狼,main food source,欧洲野兔
熊科,described by source,俄语百科全书
赤狐,invasive to,澳大利亚洲
狼,main food source,驼鹿
熊科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
狼,main food source,美洲野牛属
熊科,described by source,Jewish Encyclopedia of Brockhaus and Efron
狼,main food source,麝牛
狼,main food source,野猪
熊猴,instance of,生物分类单元
猴科,instance of,生物分类单元
蜂猴,instance of,生物分类单元
树鼩,instance of,生物分类单元
狼,main food source,欧洲盘羊
狼,main food source,臆羚属
熊猴,parent taxon,猕猴
猴科,parent taxon,Cercopithecoidea
蜂猴,parent taxon,蜂猴属
树鼩,parent taxon,树鼩属
熊猴,IUCN conservation status,近危物种
猴科,topic's main category,Category:猴科
蜂猴,IUCN conservation status,濒危物种
树鼩,taxon synonym,Tupaia clarissa
熊猴,topic's main category,Category:Macaca assamensis
蜂猴,topic's main category,Category:Loris tardigradus
树鼩,IUCN conservation status,无危物种
狼,main food source,Castoridae
大棕蝠,instance of,生物分类单元
普通蝙蝠,instance of,生物分类单元
狼,main food source,家猫
大棕蝠,parent taxon,Eptesicus
普通蝙蝠,parent taxon,蝙蝠属
大棕蝠,IUCN conservation status,无危物种
普通蝙蝠,IUCN conservation status,无危物种
狼,main food source,苹果
大棕蝠,topic's main category,Category:Eptesicus serotinus
蝙蝠科,instance of,生物分类单元
普通蝙蝠,topic's main category,Category:Vespertilio murinus
蝙蝠科,parent taxon,小蝙蝠亚目
狼,main food source,鲑鱼
蝙蝠科,parent taxon,Vespertilionoidea
狼,main food source,骡鹿
蝙蝠科,topic's main category,Category:蝙蝠科
狼,main food source,西方狍
狼,main food source,欧洲马鹿
狼,main food source,Ovis orientalis musimon
狼,main food source,加拿大马鹿
狼,main food source,厨馀
狼,topic's main category,Category:Canis lupus
狐蝠科,instance of,生物分类单元
狼,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
狼,described by source,Explanatory Dictionary of the Living Great Russian Language
短尾鼩,instance of,生物分类单元
大麝鼩,instance of,生物分类单元
狼,described by source,Bible Encyclopedia of Archimandrite Nicephorus
狼,described by source,俄语百科全书
短尾鼩,parent taxon,短尾鼩属
大麝鼩,parent taxon,麝鼩属
臭鼩,instance of,生物分类单元
狐蝠科,topic's main category,Category of Pteropodidae by common name
狼,described by source,Jewish Encyclopedia of Brockhaus and Efron
短尾鼩,IUCN conservation status,无危物种
大麝鼩,IUCN conservation status,无危物种
狐蝠科,topic's main category,Category:Megabats
狼,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
臭鼩,parent taxon,臭鼩属
臭鼩,IUCN conservation status,无危物种
臭鼩,topic's main category,Category:Suncus murinus
刺猬,instance of,生物分类单元
雪鹀,instance of,生物分类单元
大耳猬,instance of,生物分类单元
刺猬,parent taxon,猬科
雪鹀,parent taxon,Plectrophenax
大耳猬,parent taxon,大耳猬属
刺猬,means of locomotion,滚动
雪鹀,IUCN conservation status,无危物种
大耳猬,IUCN conservation status,无危物种
刺猬,means of locomotion,quadrupedalism
大耳猬,topic's main category,Category:Hemiechinus auritus
刺猬,topic's main template,Template:Erinaceinae
刺猬,topic's main category,Category:Erinaceinae
锡嘴雀,instance of,生物分类单元
黑尾蜡嘴雀,instance of,生物分类单元
刺猬,different from,豪猪
锡嘴雀,parent taxon,Coccothraustes
黑尾蜡嘴雀,parent taxon,蜡嘴雀属
锡嘴雀,IUCN conservation status,无危物种
黑尾蜡嘴雀,IUCN conservation status,无危物种
锡嘴雀,topic's main category,Category:Coccothraustes coccothraustes
锡嘴雀,described by source,Encyclopedia of Armenian Nature
锡嘴雀,described by source,亚美尼亚苏维埃百科全书
黄雀,instance of,生物分类单元
麻雀,instance of,生物分类单元
金翅,subclass of,game piece
金翅,sport,日本将棋
黄雀,parent taxon,Spinus
麻雀,parent taxon,麻雀属
文鸟科,instance of,生物分类单元
黄雀,taxon synonym,Carduelis spinus
麻雀,IUCN conservation status,无危物种
黄雀,taxon synonym,Chrysomitris spinus
麻雀,topic's main category,Category:Passer montanus
黄雀,original combination,Fringilla spinus
文鸟科,topic's main category,Category:织布鸟科
黄雀,IUCN conservation status,无危物种
文鸟科,described by source,Encyclopedia of Armenian Nature
太阳鸟科,instance of,生物分类单元
啄花鸟科,instance of,生物分类单元
黄雀,topic's main category,Category:Spinus spinus
黄雀,described by source,俄语百科全书
啄花鸟科,parent taxon,鸣禽
太阳鸟科,topic's main category,Category:太阳鸟科
啄花鸟科,topic's main category,Category:Dicaeidae
太阳鸟科,described by source,New Encyclopedic Dictionary
攀雀科,instance of,生物分类单元
旋木雀,instance of,生物分类单元
褐头山雀,instance of,生物分类单元
沼泽山雀,instance of,生物分类单元
攀雀科,topic's main category,Category:Remizidae
旋木雀,parent taxon,旋木雀属
攀雀科,described by source,亚美尼亚苏维埃百科全书
旋木雀,IUCN conservation status,无危物种
煤山雀,instance of,生物分类单元
黄腹山雀,instance of,生物分类单元
褐头山雀,parent taxon,Poecile
沼泽山雀,parent taxon,Poecile
旋木雀,habitat,欧亚大陆
褐头山雀,original combination,Parus cinereus montanus
沼泽山雀,original combination,Parus palustris
煤山雀,parent taxon,Periparus
大山雀,instance of,生物分类单元
山雀科,instance of,生物分类单元
黄腹山雀,parent taxon,Pardaliparus
褐头山雀,IUCN conservation status,无危物种
沼泽山雀,IUCN conservation status,无危物种
旋木雀,topic's main category,Category:Certhia familiaris
煤山雀,original combination,Parus ater
黄腹山雀,original combination,Parus venustulus
褐头山雀,topic's main category,Category:Poecile montanus
